Order,Cone,Swirl_Base,Filling,Premium_Blends,Blend,Extra Blend,Stick_em,Drizzle
Cone N' Swirl,Cinnamon Sugar,Vanilla,Nutella,Brownie,Coffee,Coffee,Oreo,Chocolate
Cup N' Swirl,Oreo,Chocolate,Cookie Butter,Strawberry,Mazapan,Mazapan,Nutter Butter,Strawberry
Cone Only ,Graham Cracker,No Swirl,Peanut Butter,Blueberry,Orio,Orio,Pretzel Rod,Salted Caramel
,Plain,,No Filling,Mango,Cookie Dough,Cookie Dough,Reeses,Caramel
,,,,Raspberry,Nutter Butter,Nutter Butter,Graham Cracker,No Drizzle
,,,,Pineapple,Pecans,Pecans,Kit Kat,
,,,,No Premium Blend,Walnuts,Walnuts,Nilla Wafers,
,,,,,Almonds,Almonds,No Stick_em,
,,,,,Reeses,Reeses,,
,,,,,Sprinkles,Sprinkles,,
,,,,,Pretzels,Pretzels,,
,,,,,Graham Cracker,Graham Cracker,,
,,,,,No Blend,No Extra Blend,,